Which cytoskeleton is associated with the adherent (adherens) junction?	Actin filament	Microtubule	Intermediate filament	All of them	None of them	A	<div><strong>Correct:</strong> A — Actin filament</div><div><strong>Why:</strong> Adherens junctions (zonula adherens) are cell–cell anchoring junctions that link <strong>actin filaments</strong> of adjacent cells via cadherins and catenins.</div><div><strong>Exam gold:</strong> Adherens = actin, Desmosome = intermediate filaments, Focal adhesion = actin, Hemidesmosome = intermediate filaments.</div>	CYTOLOGY SAMPLETEST
Giannuzzi demilunes are typical for:	mixed acini	serous acini	mucous acini	intraepithelial glands	endocrine glands	A	<div><strong>Correct:</strong> A — mixed acini</div><div><strong>Why:</strong> Serous demilunes (Giannuzzi) are crescent-shaped serous cell caps on mucous acini, typical for <strong>mixed (seromucous) glands</strong>.</div><div><strong>Exam gold:</strong> Demilunes = mixed gland (e.g., submandibular/sublingual), parotid = pure serous (no demilunes).</div>	CYTOLOGY SAMPLETEST
Which of the following cells is NOT localized in connective tissue?	none is correct	macrophages	eosinophilic leucocytes	plasma cells	fibroblasts	A	<div><strong>Correct:</strong> A — none is correct</div><div><strong>Why:</strong> Fibroblasts, macrophages, plasma cells, and eosinophils can all be found in connective tissue.</div>	CYTOLOGY SAMPLETEST
Which of the following statements regarding conductive cardiomyocytes is NOT correct?	They are smaller than contractile cardiomyocytes	They are bigger than contractile cardiomyocytes	They are stained lighter in HE stain than contractile cardiomyocytes	They have fewer contractile fibrils compared to contractile cardiomyocytes	Their plasmalemma does not form a T-system	A	<div><strong>Correct:</strong> A — They are smaller than contractile cardiomyocytes</div><div><strong>Why:</strong> Conductive cardiomyocytes (Purkinje fibers) are larger, paler, and have fewer myofibrils.</div>	CYTOLOGY SAMPLETEST
What is the shape of the nucleus of a neutrophilic myelocyte?	kidney-shaped	flat	serrated	with many segments	none of above	A	<div><strong>Correct (MU-Varna):</strong> A — kidney-shaped</div><div><strong>Why:</strong> MU-Varna teaching accepts kidney-shaped nucleus for neutrophilic myelocyte.</div>	CYTOLOGY SAMPLETEST
What are the main types of lymphocytes?	NK-cells, T-lymphocytes, B-lymphocytes	T-lymphocytes, B-lymphocytes	NK-cells, B-lymphocytes	NK-cells, T-lymphocytes	memory cells and lymphocytes	A	<div><strong>Correct:</strong> A — NK, T, B lymphocytes</div>	CYTOLOGY SAMPLETEST
The intraembryonic intermediate mesoderm forms:	Gonads	Skeletal muscles	Dermis (skin)	Lungs	Cardiomyocytes	A	<div><strong>Correct:</strong> A — Gonads</div>	CYTOLOGY SAMPLETEST
Which of the processes listed is NOT a stage of the fertilization?	Acrosomal reaction	Cortical reaction	Gametes' membranes fusion	Capacitation	Gastrulation	E	<div><strong>Correct:</strong> E — Gastrulation</div>	CYTOLOGY SAMPLETEST
Gastrulation begins with formation of:	Primitive streak	Notochord	Hypoblast	Trophoblast	Neural tube	A	<div><strong>Correct:</strong> A — Primitive streak</div>	CYTOLOGY SAMPLETEST
The amniotic cavity is formed by cells of the:	Epiblast	Hypoblast	Extraembryonic mesoderm	Cytotrophoblast	Syncytiotrophoblast	A	<div><strong>Correct:</strong> A — Epiblast</div>	CYTOLOGY SAMPLETEST
On which developmental day is the closure of the posterior neuropore of the neural tube?	Day 27	Day 20	Day 24	Day 30	Day 33	A	<div><strong>Correct:</strong> A — Day 27</div>	CYTOLOGY SAMPLETEST
Primary villi result from the proliferation of:	Cytotrophoblast	Syncytiotrophoblast	Epiblast	Hypoblast	None of the answers is true	A	<div><strong>Correct:</strong> A — Cytotrophoblast</div>	CYTOLOGY SAMPLETEST
Plasmalemmal proteins originate from which of the listed organelles:	Rough ER	Smooth ER	Golgi	Lysosome	Peroxisome	A	<div><strong>Correct:</strong> A — Rough ER</div>	CYTOLOGY SAMPLETEST
What type of cell junction is the desmosome:	Cell-cell	Cell-matrix	Both cell-cell and cell-matrix	Neither cell-cell nor cell-matrix	None of above	A	<div><strong>Correct:</strong> A — Cell–cell</div>	CYTOLOGY SAMPLETEST
Which cytoskeleton is associated with the desmosome:	Intermediate filament	Actin filament	Microtubule	All of them	None of them	A	<div><strong>Correct:</strong> A — Intermediate filament</div>	CYTOLOGY SAMPLETEST
Which of the following cytoskeletal elements is important for the nucleus:	Intermediate filaments	Actin filaments	Microtubules	All are important	None are important	D	<div><strong>Correct:</strong> D — All are important</div>	CYTOLOGY SAMPLETEST
Which cytoskeleton is associated with the focal adhesion:	Actin filament	Microtubule	Intermediate filament	All of them	None of them	A	<div><strong>Correct:</strong> A — Actin filament</div>	CYTOLOGY SAMPLETEST
Identify the structure shown in the image.	Endocrine epithelium in the form of ovoid aggregates, fascicles and anastomosing cellular cords	Simple tubular mucous glands	Hyaline cartilage	Complex tubulo-acinous seromucous gland	None of the answers is true	D	<div><strong>Correct:</strong> D — Complex tubulo-acinous seromucous gland</div>	CYTOLOGY SAMPLETEST
