Question	OptionA	OptionB	OptionC	OptionD	OptionE	Correct	Explanation	Tags
Which of the following cytoskeletal elements is important for the nucleus:	Intermediate filaments	Actin filaments	Microtubules	All are important	None are important	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Structural support of the nucleus is provided by the nuclear lamina.</div>
<div><strong>Mechanism / reasoning:</strong> Nuclear lamina lines the inner nuclear membrane and is built from lamins, which are intermediate filaments. This directly maintains nuclear shape and mechanical stability.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Actin mainly supports cell cortex, motility, adhesion; not the nuclear lamina.</li><li>C: Microtubules organize mitotic spindle and intracellular transport; not a structural nuclear scaffold.</li><li>D: Tempting but incorrect, only intermediate filaments are the direct nuclear support element here.</li><li>E: False, lamins are essential for nuclear integrity.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Nucleus → nuclear lamina → lamins → intermediate filaments.</div>
<div><strong>Active recall:</strong> Name the transport system that uses Ran-GTP: importins/exportins (through nuclear pore complexes).</div>"	CYTOLOGY SAMPLETEST
The structures depicted by arrows are cisterns of:	Nucleus	Smooth endoplasmic reticulum	Mitochondrion	Rough endoplasmic reticulum		D	"<div><strong>Correct:</strong> D</div>
<div><strong>Core idea (exam focus):</strong> RER is recognized on TEM by stacked flattened cisternae studded with ribosomes.</div>
<div><strong>Mechanism / reasoning:</strong> The arrows point to parallel flattened membranes with dense dots on the cytosolic surface (ribosomes). That combination is classic rough ER.</div>
<div><strong>Why the other options are not:</strong><ul><li>A: Nucleus shows chromatin, nuclear envelope, nucleolus, not stacked ribosome-studded cisternae.</li><li>B: SER is tubular and lacks ribosomes.</li><li>C: Mitochondria have double membrane and cristae, not continuous cisternae.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Ribosomes on membrane = rough ER; no ribosomes = smooth ER.</div>
<div><strong>Active recall:</strong> If the membranes were smooth and tubular (no dots), which organelle would you choose?</div>"	CYTOLOGY SAMPLETEST
Amino-oxidase and catalase are characteristic enzymes for:	Smooth endoplasmic reticulum	Golgi complex	Lysosomes	Peroxisomes	Mitochondria	D	"<div><strong>Correct:</strong> D</div>
<div><strong>Core idea (exam focus):</strong> Peroxisomes are defined by oxidative enzymes handling H₂O₂.</div>
<div><strong>Mechanism / reasoning:</strong> Amino-oxidases generate H₂O₂ during oxidation, catalase decomposes H₂O₂ to H₂O + O₂. This oxidase–catalase pairing is diagnostic for peroxisomes.</div>
<div><strong>Why the other options are not:</strong><ul><li>A: SER detox uses CYP450; catalase is not the hallmark.</li><li>B: Golgi modifies and sorts proteins; no oxidase/catalase signature.</li><li>C: Lysosomes contain acid hydrolases, not oxidases/catalase.</li><li>E: Mitochondria are for oxidative phosphorylation; catalase is not characteristic.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> H₂O₂ metabolism = peroxisome (oxidases make it, catalase breaks it).</div>
<div><strong>Active recall:</strong> What toxic molecule accumulates first when catalase is deficient?</div>"	CYTOLOGY SAMPLETEST
The transport from/to the nucleus takes place via:	Nuclear pore complexes	Inner nuclear membrane	Outer nuclear membrane	Nuclear lamina		A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Regulated nucleus–cytoplasm exchange occurs through nuclear pore complexes (NPCs).</div>
<div><strong>Mechanism / reasoning:</strong> NPCs are protein channels spanning the nuclear envelope. Small molecules diffuse, and larger cargos use signal-dependent transport (NLS/NES via importins/exportins with Ran-GTP).</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Inner nuclear membrane is a barrier and structural platform, not the transport route.</li><li>C: Outer nuclear membrane is continuous with RER but still not a route into nucleus.</li><li>D: Nuclear lamina provides structural support, not transport.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Transport = pores, not membranes.</div>
<div><strong>Active recall:</strong> Which system mediates active nuclear import/export (name the GTPase)?</div>"	CYTOLOGY SAMPLETEST
All listed organelles are bound by biomemebranes, EXCEPT:	Ribosomes	Endoplasmic reticulum	Golgi complex	Mitochondria	Lysosomes	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Distinguish membrane-bound organelles from non-membranous structures.</div>
<div><strong>Mechanism / reasoning:</strong> Ribosomes are ribonucleoprotein particles (rRNA + proteins) with no lipid bilayer. ER, Golgi, mitochondria, lysosomes are membrane-bound.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: ER is a membrane cistern/tubule system.</li><li>C: Golgi consists of membrane-bound stacks.</li><li>D: Mitochondria have double membranes.</li><li>E: Lysosomes are single-membrane organelles.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Non-membranous: ribosomes, cytoskeleton, centrioles; Membranous: ER, Golgi, mitochondria, lysosomes, peroxisomes.</div>
<div><strong>Active recall:</strong> Name two other non-membranous structures tested in cytology.</div>"	CYTOLOGY SAMPLETEST
What type of cell junction is the adherent junction:	Cell-cell	Cell-matrix	Both cell-cell and cell-matrix	Neither cell-cell nor cell-matrix		A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Adherens junctions are cell–cell adhesion junctions.</div>
<div><strong>Mechanism / reasoning:</strong> Zonula adherens uses cadherins to link adjacent cells and connects intracellularly to actin filaments via catenins.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Cell–matrix junctions include hemidesmosomes and focal adhesions.</li><li>C: Classic trap; adherens is not cell–matrix.</li><li>D: Incorrect; it is a major cell–cell junction.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Adherens = cadherin + actin + cell–cell.</div>
<div><strong>Active recall:</strong> Which junction is cell–matrix and links intermediate filaments to basal lamina?</div>"	CYTOLOGY SAMPLETEST
In which of the following combinations the stages of monocytopoiesis are ordered corectly?	monocyte-granulocyte colony-forming unit -> monocyte colony-forming unit -> monoblast -> promonocyte -> monocyte	monoblast -> myeloblast -> monocyte-granulocyte colony-forming unit -> promonocyte -> monocyte	myeloblast -> monoblast -> monocyte-granulocyte colony-forming unit -> M - cell -> monocyte	myeloblast -> monoblast -> granulocyte colony-forming unit -> promonocyte -> monocyte	myeloblast -> monoblast -> lymphocyte colony-forming unit -> promonocyte -> monocyte	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Correct lineage and maturation sequence for monocytes.</div>
<div><strong>Mechanism / reasoning:</strong> CFU-GM → CFU-M → monoblast → promonocyte → monocyte. Option A matches this canonical order.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Mixes in myeloblast incorrectly.</li><li>C: Contains nonstandard/incorrect stage (M-cell) and wrong ordering.</li><li>D: Uses granulocyte CFU instead of monocyte CFU.</li><li>E: Lymphocyte CFU belongs to lymphopoiesis.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> CFU-GM → CFU-M → monoblast → promonocyte → monocyte.</div>
<div><strong>Active recall:</strong> Which circulating blood cell differentiates into macrophages in tissues?</div>"	CYTOLOGY SAMPLETEST
The cartilage tissue subtypes are:	"""hyaline, elastic, fibrous """	"""loose, collagenous, hyaline """	"""bone, hyaline, elastic """	"""collagenous, elastic, fibrous """	"""elastic, collagenous, loose """	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Classical histological cartilage classification.</div>
<div><strong>Mechanism / reasoning:</strong> Cartilage has exactly three subtypes: hyaline cartilage, elastic cartilage, fibrocartilage (fibrous).</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Loose/collagenous are connective tissue proper, not cartilage.</li><li>C: Bone is not cartilage.</li><li>D: “Collagenous” is not a cartilage subtype.</li><li>E: Mixes cartilage with connective tissue proper.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> If it is not hyaline + elastic + fibrous together, it is wrong.</div>
<div><strong>Active recall:</strong> Which cartilage subtype lacks perichondrium?</div>"	CYTOLOGY SAMPLETEST
Which of the following substances is involved in the blood coagulation:	factor of von Willebrand	thrombopoietin	erythropoietin	histamine	renin	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Identify a molecule directly participating in hemostasis/coagulation.</div>
<div><strong>Mechanism / reasoning:</strong> von Willebrand factor mediates platelet adhesion to exposed collagen and carries/stabilizes factor VIII, supporting both primary hemostasis and coagulation.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Thrombopoietin regulates platelet production, not the coagulation reaction.</li><li>C: Erythropoietin stimulates RBC production.</li><li>D: Histamine mediates inflammation/vasodilation.</li><li>E: Renin is part of RAAS.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> vWF = platelet adhesion + factor VIII protection.</div>
<div><strong>Active recall:</strong> Deficiency of vWF causes what bleeding disorder?</div>"	CYTOLOGY SAMPLETEST
Which of the following statements regardig the red muscle fibers is NOT correct ?	they contract quickly	they have more myoglobin	they have more lipid droplets	the have less glycogen	they have more mitochondria	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Red fibers correspond to Type I (slow oxidative) fibers.</div>
<div><strong>Mechanism / reasoning:</strong> Type I fibers are specialized for endurance: slow contraction, high myoglobin, many mitochondria, abundant lipids, relatively less glycogen than fast glycolytic fibers. Therefore “contract quickly” is false.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: True, high myoglobin gives red color.</li><li>C: True, lipids support oxidative metabolism.</li><li>D: True in comparison to fast glycolytic fibers.</li><li>E: True, many mitochondria.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Type I = slow, oxidative, endurance; Type II = fast, glycolytic, power.</div>
<div><strong>Active recall:</strong> Which muscle (postural) is rich in Type I fibers?</div>"	CYTOLOGY SAMPLETEST
