Question	OptionA	OptionB	OptionC	OptionD	OptionE	Correct	Explanation	Tags
11. Ovarian stimulation as part of an IVF procedure is realized via:	Injection of gonadotropins (FSH ± LH/hMG)	Administration of prolactin antagonists	High-dose progesterone during the follicular phase	Blocking GnRH receptors only after ovulation	Oxytocin infusion to induce follicle rupture	A	"<div><strong>Correct: A. Injection of gonadotropins (FSH ± LH/hMG)</strong></div>
<div><strong>Concept:</strong> Controlled ovarian stimulation aims to recruit <strong>multiple follicles</strong> for oocyte retrieval.</div>
<ul>
  <li><strong>Gonadotropins</strong> (recombinant FSH, hMG) directly stimulate follicular growth.</li>
  <li>In IVF protocols, <strong>GnRH agonists/antagonists</strong> may be used to prevent premature LH surge, but the core stimulation is by <strong>gonadotropins</strong>.</li>
</ul>"	GENQUESTION EMBRYOLOGY Reproduction
12. Which of the zona pellucida proteins acts as a receptor for spermatozoa binding?	ZP1	ZP2	ZP3	ZP4	ZP0	C	"<div><strong>Correct: C. ZP3</strong></div>
<div><strong>High-yield mechanism:</strong> <strong>ZP3</strong> mediates <strong>initial sperm binding</strong> and triggers the <strong>acrosome reaction</strong> (classic exam formulation).</div>
<ul>
  <li><strong>ZP2</strong> is more associated with <strong>post-acrosome binding</strong> and helps maintain sperm attachment.</li>
  <li><strong>ZP1</strong> cross-links ZP filaments, giving structural integrity.</li>
</ul>"	GENQUESTION EMBRYOLOGY Fertilization
13. The notochord is under which structure?	The surface ectoderm	The neural tube	The amnion	The paraxial mesoderm	The somites	B	"<div><strong>Correct: B. The neural tube</strong></div>
<div><strong>Spatial anatomy (midline):</strong> <strong>Neural tube</strong> lies <strong>dorsal</strong> to the <strong>notochord</strong>; notochord lies ventral to it.</div>
<div><strong>Clinical integration:</strong> Notochord patterns the neural tube (Shh signaling), and remnants contribute to <em>nucleus pulposus</em>.</div>"	GENQUESTION EMBRYOLOGY Neurulation
14. <strong>Match each of the listed tissues and the characteristic location of this tissue:</strong><br><strong>Back:</strong>	Dense irregular connective tissue =&gt; Deep layer of the dermis<br>Elastic connective tissue =&gt; ligg. flava<br>Bone tissue =&gt; Skeleton<br>Reticular connective tissue =&gt; Spleen stroma<br>Mucous connective tissue =&gt; Umbilical cord	Dense irregular connective tissue =&gt; Papillary dermis<br>Elastic connective tissue =&gt; Tendons<br>Bone tissue =&gt; Lymph node stroma<br>Reticular connective tissue =&gt; Umbilical cord<br>Mucous connective tissue =&gt; Skeleton	Dense irregular connective tissue =&gt; Liver parenchyma<br>Elastic connective tissue =&gt; Dermis<br>Bone tissue =&gt; ligg. flava<br>Reticular connective tissue =&gt; Tendons<br>Mucous connective tissue =&gt; Spleen capsule	Dense irregular connective tissue =&gt; Umbilical cord<br>Elastic connective tissue =&gt; Deep dermis<br>Bone tissue =&gt; ligg. flava<br>Reticular connective tissue =&gt; Skeleton<br>Mucous connective tissue =&gt; Spleen stroma	Dense irregular connective tissue =&gt; Epidermis<br>Elastic connective tissue =&gt; Cartilage matrix<br>Bone tissue =&gt; Dermis<br>Reticular connective tissue =&gt; Myocardium<br>Mucous connective tissue =&gt; Dura mater	A	"<div><strong>Correct: A</strong></div>
<div><strong>How to discriminate (MU-Varna style):</strong></div>
<ul>
  <li><strong>Dense irregular CT</strong>: thick collagen bundles in many directions → <strong>reticular (deep) dermis</strong>.</li>
  <li><strong>Elastic CT</strong>: abundant elastic fibers → <strong>ligamenta flava</strong> (yellow ligaments).</li>
  <li><strong>Reticular CT</strong>: type III collagen framework → <strong>stroma of spleen</strong> (also lymph nodes, BM).</li>
  <li><strong>Mucous CT</strong> (Wharton’s jelly): gelatinous ground substance → <strong>umbilical cord</strong>.</li>
</ul>"	GENQUESTION HISTOLOGY ConnectiveTissue
15. The number of somites at the end of the 5th week of development is:	28–30 pairs	34–36 pairs	38–40 pairs	42–44 pairs	48–50 pairs	D	"<div><strong>Correct: D. 42–44 pairs</strong></div>
<div><strong>Exam hook:</strong> Somites form in a cranio-caudal sequence. By the end of week 5, the embryo typically has about <strong>42–44</strong> pairs (some regress later, e.g., coccygeal).</div>"	GENQUESTION EMBRYOLOGY Somitogenesis
16. Neurons with typical pyramid shape soma are the:	Purkinje cells of the cerebellar cortex	Giant cells of Betz	Granule cells of the cerebellum	Bipolar neurons of the retina	Pseudounipolar neurons of dorsal root ganglia	B	"<div><strong>Correct: B. Giant cells of Betz</strong></div>
<div><strong>Key morphology:</strong> <strong>Pyramidal neurons</strong> have a triangular/pyramidal soma with an apical dendrite, typical for the cerebral cortex.</div>
<ul>
  <li><strong>Betz cells</strong>: large pyramidal neurons in <strong>primary motor cortex</strong> (layer V).</li>
  <li><strong>Purkinje</strong> cells are flask-shaped, not pyramidal.</li>
</ul>"	GENQUESTION HISTOLOGY NervousTissue
17. Where else in the cell are localized the ribosomes?	In the nucleus attached to chromatin	On the surface of the rough ER	Inside lysosomes	Within the Golgi lumen	On the plasma membrane extracellularly	B	"<div><strong>Correct: B. On the surface of the rough ER</strong></div>
<div><strong>Core idea:</strong> Ribosomes are found <strong>free in cytosol</strong> or <strong>bound to RER</strong>.</div>
<ul>
  <li><strong>RER-bound</strong> ribosomes synthesize proteins destined for secretion, membranes, and lysosomes.</li>
  <li>Ribosomes are <strong>not</strong> located in lysosomes or Golgi lumen.</li>
</ul>"	GENQUESTION CYTOLOGY Ribosomes
18. In the 3rd week of embryogenesis, the lateral edges of the neural plate fold and meet to form the neural tube. This process is called:	Gastrulation	Neurulation	Somitogenesis	Organogenesis	Implantation	B	"<div><strong>Correct: B. Neurulation</strong></div>
<div><strong>Definition:</strong> Folding of the <strong>neural plate</strong> to form the <strong>neural tube</strong> (CNS primordium).</div>
<div><strong>Clinical note:</strong> Failure of closure → <strong>neural tube defects</strong> (e.g., spina bifida, anencephaly).</div>"	GENQUESTION EMBRYOLOGY Neurulation
20. The primitive endothelial cells are formed by:	Neural crest cells migrating into the mesenchyme	Cells lining the yolk sac	Epiblast cells remaining on the surface	Hypoblast cells forming the amnion	Syncytiotrophoblast cells invading endometrium	B	"<div><strong>Correct: B. Cells lining the yolk sac</strong></div>
<div><strong>Mechanism:</strong> Early vasculogenesis begins in the <strong>extraembryonic mesoderm</strong> of the yolk sac forming <strong>blood islands</strong>.</div>
<ul>
  <li>Peripheral cells of blood islands → <strong>endothelial lining</strong></li>
  <li>Central cells → <strong>primitive blood cells</strong></li>
</ul>"	GENQUESTION EMBRYOLOGY Vasculogenesis
22. Which of the following structures is present in electrical synapses?	Desmosomes	Connexons	Tight junction strands	Hemidesmosomes	Basal lamina	B	"<div><strong>Correct: B. Connexons</strong></div>
<div><strong>Electrical synapse</strong> = <strong>gap junction</strong>. Each channel is formed by aligned <strong>connexons</strong> (hexamers of connexins) from adjacent cells.</div>
<div><strong>Function:</strong> rapid, bidirectional ionic current flow, synchronized activity (e.g., some neurons, cardiac/smooth muscle coupling).</div>"	GENQUESTION CYTOLOGY CellJunctions
24. The straited (skeletal) muscle tissue has	Gap junctions enabling a functional syncytium	Cells with a single central nucleus	Short, branched fibers with intercalated discs	Automatic rhythmic contraction without innervation	None of the answers in correct	E	"<div><strong>Correct: E. None of the answers in correct</strong></div>
<div><strong>Why all A–D are wrong for skeletal muscle:</strong></div>
<ul>
  <li><strong>A</strong>: functional syncytium via gap junctions is <strong>cardiac/smooth</strong>, not skeletal.</li>
  <li><strong>B</strong>: skeletal fibers are <strong>multinucleated</strong> with <strong>peripheral</strong> nuclei.</li>
  <li><strong>C</strong>: branching + intercalated discs are <strong>cardiac</strong> features.</li>
  <li><strong>D</strong>: skeletal muscle is <strong>voluntary</strong> and depends on <strong>motor innervation</strong>.</li>
</ul>"	GENQUESTION HISTOLOGY Muscle
25. The sarcomere is the part of the myofibril between:	The two M-lines	The two Z-discs	Two H-zones	Two I-bands	The A-band and the I-band	B	"<div><strong>Correct: B. The two Z-discs</strong></div>
<div><strong>Definition:</strong> Sarcomere = contractile unit from <strong>Z-disc to Z-disc</strong>.</div>
<ul>
  <li><strong>Z-disc</strong>: anchors actin (thin filaments) via α-actinin.</li>
  <li>Shortening occurs mainly by <strong>sliding filament</strong> mechanism.</li>
</ul>"	GENQUESTION HISTOLOGY Muscle
26. Which term does not belong to the others?	Astrocyte	Oligodendrocyte	Microglia	Ependymal cell	Brain	E	"<div><strong>Correct: E. Brain</strong></div>
<div><strong>Logic:</strong> A–D are <strong>neuroglial cell types</strong> (supporting cells). <strong>Brain</strong> is an organ/structure, not a cell type.</div>"	GENQUESTION HISTOLOGY NervousTissue
27. Which type of neuroglial cells provide myelin in the central nervous system?	Schwann cells	Oligodendrocytes	Satellite cells	Astrocytes	Microglia	B	"<div><strong>Correct: B. Oligodendrocytes</strong></div>
<ul>
  <li><strong>CNS myelin</strong> is produced by <strong>oligodendrocytes</strong> (one cell can myelinate multiple axons).</li>
  <li><strong>PNS myelin</strong> is produced by <strong>Schwann cells</strong> (one cell per axon segment).</li>
</ul>"	GENQUESTION HISTOLOGY NervousTissue
28. Which statement is FALSE?	Smooth muscle is present in the wall of the intestine	Smooth muscle is present in the wall of the uterus	Smooth muscle helps regulate the diameter of arteries	The smooth muscle tissue is involved in building the capillary wall	Smooth muscle is found in the wall of the urinary bladder	D	"<div><strong>Correct: D. The smooth muscle tissue is involved in building the capillary wall</strong></div>
<div><strong>Why false:</strong> Capillary walls consist of a single layer of <strong>endothelial cells</strong> plus basal lamina (with <strong>pericytes</strong> in many capillaries), but <strong>no smooth muscle layer</strong>.</div>
<div><strong>Clinical link:</strong> Precapillary sphincters and arterioles contain smooth muscle, which controls flow into capillary beds.</div>"	GENQUESTION HISTOLOGY Vessels
29. Troponin is a complex of:	2 polypeptides	3 polypeptides	4 polypeptides	5 polypeptides	1 polypeptide	B	"<div><strong>Correct: B. 3 polypeptides</strong></div>
<div><strong>Components:</strong></div>
<ul>
  <li><strong>TnC</strong>: binds Ca<sup>2+</sup></li>
  <li><strong>TnI</strong>: inhibitory, blocks actin–myosin interaction</li>
  <li><strong>TnT</strong>: binds tropomyosin</li>
</ul>"	GENQUESTION HISTOLOGY Muscle
30. A neuron with many nerve fibers arising from its cell body and carrying impulses away from the brain would be classified as:	Unipolar neuron	Bipolar neuron	Pseudounipolar neuron	Multipolar neuron	Anaxonic neuron	D	"<div><strong>Correct: D. Multipolar neuron</strong></div>
<div><strong>Reasoning:</strong> <strong>Multipolar</strong> neurons have one axon and multiple dendrites and are typical <strong>motor neurons</strong> carrying impulses away from the CNS.</div>
<div><strong>Contrast:</strong> <strong>Pseudounipolar</strong> neurons are sensory (dorsal root ganglia).</div>"	GENQUESTION HISTOLOGY NervousTissue
31. Branched nerve fibers that convey local potential changes toward a cell body of a neuron are called:	Axons	Dendrites	Nodes of Ranvier	Schwann cells	Myelin lamellae	B	"<div><strong>Correct: B. Dendrites</strong></div>
<div><strong>Function:</strong> Dendrites are branched processes receiving synaptic input and conducting <strong>graded potentials</strong> toward the soma.</div>
<div><strong>Contrast:</strong> Axons conduct <strong>action potentials</strong> away from the soma.</div>"	GENQUESTION HISTOLOGY NervousTissue
32. The gaps between the myelin sheath fragments along an axon are called:	Schmidt–Lanterman clefts	Nodes of Ranvier	Synaptic clefts	Intercalated discs	Hemidesmosomes	B	"<div><strong>Correct: B. Nodes of Ranvier</strong></div>
<div><strong>High-yield:</strong> Nodes are periodic interruptions of myelin where voltage-gated Na<sup>+</sup> channels cluster → <strong>saltatory conduction</strong>.</div>
<div><strong>Trap:</strong> Schmidt–Lanterman clefts are cytoplasmic channels within myelin in the PNS.</div>"	GENQUESTION HISTOLOGY NervousTissue
33. Structures that form synapses with muscles are:Structures that form synapses with muscles are:	Chemical synapses between neurons	Electrical synapses (gap junctions)	Neuromuscular junctions	Tight junctions	Desmosomes	C	"<div><strong>Correct: C. Neuromuscular junctions</strong></div>
<div><strong>Definition:</strong> Specialized chemical synapse between a <strong>motor neuron</strong> terminal and a <strong>skeletal muscle fiber</strong> (motor end plate).</div>
<div><strong>Key transmitter:</strong> Acetylcholine (ACh).</div>"	GENQUESTION HISTOLOGY Muscle
35. The prophase of the first meiotic division is characterized by the following phases:	Leptotene, zygotene, pachytene, diplotene, diakinesis	Interphase, prophase, metaphase, anaphase, telophase	S phase, G1, G2, M phase, cytokinesis	Prophase A, B, C, D, E	Synapsis, cleavage, gastrulation, neurulation, organogenesis	A	"<div><strong>Correct: A</strong></div>
<div><strong>Prophase I (meiosis)</strong> is subdivided into five classic stages:</div>
<ul>
  <li><strong>Leptotene</strong>: chromosome condensation begins</li>
  <li><strong>Zygotene</strong>: synapsis starts (bivalents)</li>
  <li><strong>Pachytene</strong>: crossing-over occurs</li>
  <li><strong>Diplotene</strong>: chiasmata visible</li>
  <li><strong>Diakinesis</strong>: maximal condensation, nuclear envelope breakdown</li>
</ul>"	GENQUESTION EMBRYOLOGY Meiosis
36. Match the corresponding statements:	Folliculogenesis =&gt; Oogenesis	Folliculogenesis =&gt; Spermiogenesis	Folliculogenesis =&gt; Gastrulation	Folliculogenesis =&gt; Somitogenesis	Folliculogenesis =&gt; Neurulation	A	"<div><strong>Correct: A. Folliculogenesis ⇒ Oogenesis</strong></div>
<div><strong>Meaning:</strong> Folliculogenesis is the maturation of ovarian follicles that support the growth and maturation of the <strong>oocyte</strong> (oogenesis).</div>"	GENQUESTION EMBRYOLOGY Reproduction
37. The spermatozoa consist of:	Head and midpiece only	Head and tail (flagellum)	Tail only	Head only	Midpiece and acrosome only	B	"<div><strong>Correct: B. Head and tail (flagellum)</strong></div>
<ul>
  <li><strong>Head</strong>: nucleus + acrosome</li>
  <li><strong>Tail (flagellum)</strong>: neck, midpiece (mitochondria), principal piece, end piece</li>
</ul>"	GENQUESTION HISTOLOGY Reproduction
38. Match the effector nerve endings to their target from the drop list:	Motor nerve endings =&gt;<strong>Skeletal muscles</strong><br>Secretory nerve endings =&gt;<strong>Glands</strong><br>Neuromuscular spindle =&gt;Skeletal muscles	Motor nerve endings =&gt; Cardiac muscle<br>Secretory nerve endings =&gt; Glands<br>Neuromuscular spindle =&gt; Tendons	Motor nerve endings =&gt; Smooth muscle<br>Secretory nerve endings =&gt; Bone<br>Neuromuscular spindle =&gt; Glands	Motor nerve endings =&gt; Glands<br>Secretory nerve endings =&gt; Skeletal muscles<br>Neuromuscular spindle =&gt; Cardiac muscle	Motor nerve endings =&gt; Skeletal muscles<br>Secretory nerve endings =&gt; Cartilage<br>Neuromuscular spindle =&gt; Bone	A	"<div><strong>Correct: A</strong></div>
<ul>
  <li><strong>Motor nerve endings</strong> form neuromuscular junctions on <strong>skeletal muscle</strong>.</li>
  <li><strong>Secretory nerve endings</strong> innervate <strong>glands</strong> to regulate secretion.</li>
  <li><strong>Neuromuscular spindle</strong> is a proprioceptive receptor embedded in <strong>skeletal muscle</strong>.</li>
</ul>"	GENQUESTION HISTOLOGY NervousTissue
39. The speed of impulse conduction along unmyelinated nerve fibers is:	Very fast (saltatory)	Fast	Moderate	Slow	Instantaneous	D	"<div><strong>Correct: D. slow</strong></div>
<div><strong>Principle:</strong> Unmyelinated fibers conduct via continuous depolarization along the membrane, so conduction is <strong>slower</strong> than myelinated fibers (no saltatory conduction).</div>"	GENQUESTION HISTOLOGY NervousTissue
40. Nodes of the Ranvier are interrupted by:	myelin sheaths	synaptic vesicles	microtubules	axon hillocks	Nissl bodies	A	"<div><strong>Correct: A. myelin sheaths</strong></div>
<div><strong>Interpretation (as asked):</strong> A node is a gap <em>between</em> myelinated internodes, i.e., it is the point where the continuity of the <strong>myelin sheath</strong> is interrupted.</div>
<div><strong>Functional result:</strong> clustering of Na<sup>+</sup> channels → saltatory conduction.</div>"	GENQUESTION HISTOLOGY NervousTissue
