Which cells produce pigments?	Melanocytes	Keratinocytes	Fibroblasts	Endothelial cells	Plasma cells	A	<div><strong>Correct: A. Melanocytes</strong></div><div>Melanocytes synthesize <strong>melanin</strong> in melanosomes and transfer it to keratinocytes.</div>	GENQUESTION HISTOLOGY Skin
The nodes of Ranvier represent:	Zones with thick myelin lamellae	Zones without myelin in a myelinated axon	Synaptic clefts between neurons	Areas of axon hillock enlargement	Sites of neurotransmitter synthesis	B	<div><strong>Correct: B. Zones without myelin in a myelinated axon</strong></div><div>Nodes are gaps between myelinated internodes, enabling <strong>saltatory conduction</strong>.</div>	GENQUESTION HISTOLOGY NervousTissue
Which is the most common anatomical location of fertilization:	Uterus (endometrial cavity)	Ovary	Uterine tube	Cervix	Vagina	C	<div><strong>Correct: C. Uterine tube</strong></div><div>Fertilization most commonly occurs in the <strong>ampulla</strong> of the uterine tube.</div>	GENQUESTION EMBRYOLOGY Fertilization
Which cell produce testosterone in the testis?	Sertoli cells	Leydig cells	Spermatogonia	Peritubular myoid cells	Primary spermatocytes	B	<div><strong>Correct: B. Leydig cells</strong></div><div>Leydig (interstitial) cells synthesize <strong>testosterone</strong>.</div>	GENQUESTION HISTOLOGY Reproduction
The drug colchicine blocks the formation of which cytoskeleton element?	Actin microfilaments	Intermediate filaments	Microtubules	Desmosomes	Glycocalyx	C	<div><strong>Correct: C. Microtubules</strong></div><div>Colchicine binds tubulin and prevents <strong>microtubule polymerization</strong> (mitotic spindle inhibition).</div>	GENQUESTION CYTOLOGY Cytoskeleton
What is the shape of a typical leiomyocyte:	Branched cylindrical	Fusiform	Polygonal	Flat squamous	Star-shaped	B	<div><strong>Correct: B. Fusiform</strong></div><div>Smooth muscle cells (leiomyocytes) are <strong>spindle-shaped</strong> with a central nucleus.</div>	GENQUESTION HISTOLOGY Muscle
Which of the following functions is typical for the lysosomes:	ATP production	Protein synthesis for secretion	They digest foreign material	Steroid synthesis	DNA replication	C	<div><strong>Correct: C. They digest foreign material</strong></div><div>Lysosomes contain acid hydrolases for degradation of endocytosed/phagocytosed material and autophagy.</div>	GENQUESTION CYTOLOGY Lysosomes
Each somite differentiates into all of the following EXCEPT:	Sclerotome	Myotome	Dermatome	Nephrotome	Sclerotome-derived vertebrae primordia	D	<div><strong>Correct: D. Nephrotome</strong></div><div>Somites form sclerotome, myotome, dermatome. Nephrotome relates to intermediate mesoderm derivatives, not somites.</div>	GENQUESTION EMBRYOLOGY Somitogenesis
The normal value the blood volume in health adult individuals is:	2–3 liters	3–4 liters	5-6 liter	7–8 liters	10 liters	C	<div><strong>Correct: C. 5-6 liter</strong></div><div>Typical adult blood volume is about <strong>5–6 L</strong> (varies with body size).</div>	GENQUESTION HISTOLOGY Blood
The intervillous space of the placenta contains:	Fetal blood	Maternal blood	Amniotic fluid	Yolk sac fluid	Lymph	B	<div><strong>Correct: B. Maternal blood</strong></div><div>Maternal blood bathes chorionic villi in the intervillous space for exchange.</div>	GENQUESTION EMBRYOLOGY Placenta
The cephalic end of the primitive streak is:	Neural crest	Primitive node	Notochord	Somite	Allantois	B	<div><strong>Correct: B. Primitive node</strong></div><div>The cranial end of the primitive streak forms the <strong>primitive node</strong> (Hensen’s node).</div>	GENQUESTION EMBRYOLOGY Gastrulation
The megakaryoblast is a precursor cell in the process of:	Erythropoiesis	Granulopoiesis	Thrombocytopoiesis	Lymphopoiesis	Monocytopoiesis	C	<div><strong>Correct: C. Thrombocytopoiesis</strong></div><div>Megakaryoblast → megakaryocyte → platelet formation.</div>	GENQUESTION HISTOLOGY Blood
From which germ layer originates the epithelium of the thyroid gland?	Ectoderm	Mesoderm	Endoderm	Neural crest	Trophoblast	C	<div><strong>Correct: C. Endoderm</strong></div><div>Thyroid follicular epithelium develops primarily from <strong>endoderm</strong> of the pharyngeal floor.</div>	GENQUESTION EMBRYOLOGY GermLayers
When does begin the first meiotic division of oocytes?	At puberty	At fertilization	Before birth	After menopause	In childhood (postnatal) only	C	<div><strong>Correct: C. Before birth</strong></div><div>Primary oocytes enter meiosis I during fetal life and arrest in prophase I until puberty.</div>	GENQUESTION EMBRYOLOGY Oogenesis
Which structures originate from the lateral plate mesoderm?	Neural tube and neural crest	Somites and sclerotome	Epithelium of the renal tubes, renal calices	Epidermis and skin appendages	Thyroid follicular epithelium	C	<div><strong>Correct: C</strong></div><div>Answer kept exactly as provided for MU-Varna key.</div>	GENQUESTION EMBRYOLOGY Mesoderm
