The neurenteric canal temporarily connects:	Amniotic and yolk sac cavities	Chorionic cavity and uterine lumen	Neural tube and pericardial cavity	Allantoic diverticulum and gut lumen	Intervillous space and fetal capillaries	A	<div><strong>Correct: A. Amniotic and yolk sac cavities</strong></div><div>The neurenteric canal is a transient connection between the <strong>amniotic cavity</strong> and the <strong>yolk sac</strong> during gastrulation.</div>	GENQUESTION EMBRYOLOGY Gastrulation
To which sub-cellular structure correspond the NisslɁs granulations?	Mitochondria	Rough ER cisterns	Golgi apparatus	Lysosomes	Smooth ER tubules	B	<div><strong>Correct: B. Rough ER cisterns</strong></div><div>Nissl substance represents <strong>RER + ribosomes</strong> in neurons, reflecting high protein synthesis.</div>	GENQUESTION HISTOLOGY NervousTissue
The type of hemoglobin in healthy adults is:	HbF	HbA	HbS	HbC	HbA2 only	B	<div><strong>Correct: B. HbA</strong></div><div>Adult hemoglobin is predominantly <strong>HbA (α2β2)</strong>.</div>	GENQUESTION HISTOLOGY Blood
Which cell is the precursor cell of neutrophilic granulocytes?	Myeloblast	Proerythroblast	Megakaryoblast	Lymphoblast	Monoblast	A	<div><strong>Correct: A. Myeloblast</strong></div><div>Granulopoiesis begins with the <strong>myeloblast</strong> → promyelocyte → myelocyte → metamyelocyte → band → neutrophil.</div>	GENQUESTION HISTOLOGY Blood
The multiple pregnancy is:	Very common in humans	Comparatively rare in humans	Impossible in humans	Always dizygotic	Always monozygotic	B	<div><strong>Correct: B. Comparatively rare in humans</strong></div><div>Multiple pregnancy occurs, but it is <strong>comparatively rare</strong> under normal conditions.</div>	GENQUESTION EMBRYOLOGY Twins
From which germ layer originates the neurohypophysis (posterior):	Surface ectoderm	Neuroectoderm	Endoderm	Neural crest	Mesoderm	A	<div><strong>Correct: A. Surface ectoderm</strong></div><div>Answer kept exactly as provided for MU-Varna key.</div>	GENQUESTION EMBRYOLOGY Pituitary
Based on the type of secretion the glandular epithelium is classified:	Serous and mucous only	Merocrine and apocrine only	Exocrine, endocrine and mixed	Simple and compound	Tubular and acinar	C	<div><strong>Correct: C. Exocrine, endocrine and mixed</strong></div><div>This classification emphasizes whether secretion goes via ducts, into blood, or both.</div>	GENQUESTION HISTOLOGY Epithelium
The normal value of the haematocrit is within the range:	20–30%	30–35%	40-50%	55–65%	70–80%	C	<div><strong>Correct: C. 40–50%</strong></div><div>Typical adult hematocrit is around <strong>40–50%</strong> (varies with sex and hydration).</div>	GENQUESTION HISTOLOGY Blood
Which of the following glans has both exocrine and endocrine secretion?	Thyroid gland	Pituitary gland	Pancreas	Adrenal gland	Parathyroid gland	C	<div><strong>Correct: C. Pancreas</strong></div><div>Pancreas: exocrine acini (digestive enzymes) + endocrine islets (hormones).</div>	GENQUESTION HISTOLOGY Glands
What is the name of the precursor cell of the striated muscle cell?	Myoblast	Myocyte	Myofibril	Myotube nucleus	Fibroblast	A	<div><strong>Correct: A. Myoblast</strong></div><div>Myoblasts fuse to form myotubes, which mature into skeletal muscle fibers.</div>	GENQUESTION HISTOLOGY Muscle
Match each of the listed cellular structures to the corresponding cell from the drop-down menu:	Chondrocytes =&gt; Cartilage	Chondrocytes =&gt; Bone	Chondrocytes =&gt; Blood	Chondrocytes =&gt; Nervous tissue	Chondrocytes =&gt; Epithelium	A	<div><strong>Correct: A. Chondrocytes ⇒ Cartilage</strong></div><div>Chondrocytes are the resident cells of <strong>cartilage</strong>, maintaining its extracellular matrix.</div>	GENQUESTION HISTOLOGY Cartilage
Which of the glial cells participate in the formation of the synapses?	Astrocytes	Oligodendrocytes	Microglia	Ependymal cells	Schwann cells	A	<div><strong>Correct: A. Astrocytes</strong></div><div>Astrocytes support synapse formation and function and regulate the extracellular environment.</div>	GENQUESTION HISTOLOGY NervousTissue
Oxytocin is released from:	Adenohypophysis	Neurohypophysis	Thyroid gland	Adrenal cortex	Pineal gland	B	<div><strong>Correct: B. Neurohypophysis</strong></div><div>Oxytocin is stored and released from the posterior pituitary (neurohypophysis).</div>	GENQUESTION HISTOLOGY Endocrine
What is the shape of a typical cardiomyocyte?	Spindle-shaped	Flat squamous	Round with many segments	Perfectly spherical	There is no correct answer	E	<div><strong>Correct: E. There is no correct answer</strong></div><div>Answer kept exactly as provided for MU-Varna key.</div>	GENQUESTION HISTOLOGY Muscle
