According to the MU-Varna stage precision logic, at which precise phase does the breakdown of the nuclear envelope occur?	Anaphase	Prometaphase	Metaphase	Prophase		B	<div><b>Correct:</b> <b>B</b> — Prometaphase</div><div><b>Why:</b> Phosphorylation of lamins leads to the disassembly of the nuclear envelope specifically during this transitional phase.</div><div><b>High-yield:</b> <ul><li><b>Core mechanism:</b> CDK1–Cyclin B phosphorylates <b>lamins</b> and nuclear pore proteins → lamina disassembly + nuclear envelope breakdown (NEBD).</li><li><b>Exam anchor:</b> NEBD defines <b>prometaphase</b> (transition after prophase).</li></ul></div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Anaphase</li><li><b>C</b> — Metaphase</li><li><b>D</b> — Prophase: While chromatin begins to condense here, the envelope breakdown is a more specific later event.</li></ul></div>	CYTOLOGY GEMINI
Which component of the nuclear envelope is continuous with the Rough Endoplasmic Reticulum (RER) and can bind ribosomes?	Inner nuclear membrane	Outer nuclear membrane	Nuclear lamina	Perinuclear space		B	<div><b>Correct:</b> <b>B</b> — Outer nuclear membrane</div><div><b>Why:</b> The outer membrane is structurally and functionally continuous with the RER.</div><div><b>High-yield:</b> <ul><li><b>Outer nuclear membrane</b> is continuous with <b>RER</b> and can carry ribosomes.</li><li><b>Inner nuclear membrane</b> anchors <b>lamina</b> and peripheral heterochromatin.</li></ul></div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Inner nuclear membrane</li><li><b>C</b> — Nuclear lamina: This is an internal meshwork of intermediate filaments, not a membrane.</li><li><b>D</b> — Perinuclear space</li></ul></div>	CYTOLOGY GEMINI
A researcher observes dark-staining, condensed DNA anchored to the nuclear lamina. Which of the following best describes this material?	Euchromatin	Nucleolus	Heterochromatin	Barr body		C	<div><b>Correct:</b> <b>C</b> — Heterochromatin</div><div><b>Why:</b> Heterochromatin is transcriptionally inactive, highly condensed, and often peripheral.</div><div><b>High-yield:</b> <ul><li><b>Heterochromatin</b>: condensed, transcriptionally inactive, typically peripheral, attached to the <b>nuclear lamina</b>.</li><li><b>Euchromatin</b>: open, transcriptionally active, lightly stained.</li></ul></div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Euchromatin</li><li><b>B</b> — Nucleolus</li><li><b>D</b> — Barr body</li></ul></div>	CYTOLOGY GEMINI
What is the basic structural unit of chromatin, consisting of DNA wrapped around a histone octamer?	Nucleosome	Chromatid	Nucleoporin	Centrosome		A	<div><b>Correct:</b> <b>A</b> — Nucleosome</div><div><b>Why:</b> A nucleosome consists of roughly 150 bp of DNA wrapped around histones H2A, H2B, H3, and H4.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Chromatid</li><li><b>C</b> — Nucleoporin</li><li><b>D</b> — Centrosome</li></ul></div>	CYTOLOGY GEMINI
The nucleolus is highly prominent in cells with high protein synthesis. What is its primary TEM-visible granular component responsible for?	rRNA gene storage	Histone synthesis	Ribosomal subunit assembly	mRNA transcription		C	<div><b>Correct:</b> <b>C</b> — Ribosomal subunit assembly</div><div><b>Why:</b> The granular component is where the final assembly of ribosomal subunits takes place.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — rRNA gene storage</li><li><b>B</b> — Histone synthesis</li><li><b>D</b> — mRNA transcription</li></ul></div>	CYTOLOGY GEMINI
In which phase of the cell cycle is the DNA content doubled alongside the synthesis of histones?	S phase	M phase	G1 phase	G2 phase		A	<div><b>Correct:</b> <b>A</b> — S phase</div><div><b>Why:</b> The S (synthesis) phase is specifically for DNA replication and histone production.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — M phase</li><li><b>C</b> — G1 phase: This is the longest phase focused on growth and preparation.</li><li><b>D</b> — G2 phase</li></ul></div>	CYTOLOGY GEMINI
Which of the following events is unique to Prophase I of meiosis compared to mitotic prophase?	Synapsis of homologous chromosomes	Disappearance of the nucleolus	Migration of centrosomes	Condensation of chromatin		A	<div><b>Correct:</b> <b>A</b> — Synapsis of homologous chromosomes</div><div><b>Why:</b> Meiosis involves the pairing of homologous chromosomes to allow for genetic recombination.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Disappearance of the nucleolus</li><li><b>C</b> — Migration of centrosomes</li><li><b>D</b> — Condensation of chromatin</li></ul></div>	CYTOLOGY GEMINI
Apoptosis is often distinguished from necrosis by several key features. Which of the following is characteristic ONLY of apoptosis?	Cyclins	Lamins	Bcl-2	Caspases		D	<div><b>Correct:</b> <b>D</b> — Caspases</div><div><b>Why:</b> Caspases are the primary proteases that degrade the cytosol and cytoskeleton during apoptosis.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Cyclins</li><li><b>B</b> — Lamins</li><li><b>C</b> — Bcl-2</li></ul></div>	CYTOLOGY GEMINI
Which specific protein is responsible for binding 'linker DNA' and assisting in the higher-order packing of nucleosomes?	Histone H1	Histone H3	Cohesin	Actin		A	<div><b>Correct:</b> <b>A</b> — Histone H1</div><div><b>Why:</b> H1 is the linker histone that facilitates the condensation of beads-on-a-string into fibers.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Histone H3: H3 is part of the core octamer, not the linker.</li><li><b>C</b> — Cohesin</li><li><b>D</b> — Actin</li></ul></div>	CYTOLOGY GEMINI
Which specific protein serves as the 'gatekeeper' of the nuclear pore complex, regulating the traffic of molecules between the nucleus and cytoplasm?	Histones	Lamins	Nucleoporins	Importins		C	<div><b>Correct:</b> <b>C</b> — Nucleoporins</div><div><b>Why:</b> Nucleoporins are the large protein assemblies that form the nuclear pore complex and regulate transport.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Histones</li><li><b>B</b> — Lamins</li><li><b>D</b> — Importins</li></ul></div>	CYTOLOGY GEMINI
