According to the MU-Varna stage precision logic, at which precise phase does the breakdown of the nuclear envelope occur?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Prometaphase  Phosphorylation of lamins leads to the disassembly of the nuclear envelope specifically during this transitional phase.</div>
<div><b>High-yield:</b> Key point: Nuclear envelope breakdown (NEBD) occurs in **prometaphase** when CDK1–cyclin B–driven phosphorylation disassembles lamins and nuclear pore components.</div>"	CYTOLOGY GEMINI
Which component of the nuclear envelope is continuous with the Rough Endoplasmic Reticulum (RER) and can bind ribosomes?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Outer nuclear membrane  The outer membrane is structurally and functionally continuous with the RER.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
A researcher observes dark-staining, condensed DNA anchored to the nuclear lamina. Which of the following best describes this material?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Heterochromatin  Heterochromatin is transcriptionally inactive, highly condensed, and often peripheral.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is the basic structural unit of chromatin, consisting of DNA wrapped around a histone octamer?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Nucleosome  A nucleosome consists of roughly 150 bp of DNA wrapped around histones H2A, H2B, H3, and H4.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
The nucleolus is highly prominent in cells with high protein synthesis. What is its primary TEM-visible granular component responsible for?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Ribosomal subunit assembly  The granular component is where the final assembly of ribosomal subunits takes place.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
In which phase of the cell cycle is the DNA content doubled alongside the synthesis of histones?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> S phase  The S (synthesis) phase is specifically for DNA replication and histone production.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which of the following events is unique to Prophase I of meiosis compared to mitotic prophase?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Synapsis of homologous chromosomes  Meiosis involves the pairing of homologous chromosomes to allow for genetic recombination.</div>
<div><b>High-yield:</b> Key point: Meiosis I involves **homologous pairing (synapsis)** and recombination; Meiosis II separates sister chromatids.</div>"	CYTOLOGY GEMINI
Apoptosis is often distinguished from necrosis by several key features. Which of the following is characteristic ONLY of apoptosis?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Caspases  Caspases are the primary proteases that degrade the cytosol and cytoskeleton during apoptosis.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which specific protein is responsible for binding 'linker DNA' and assisting in the higher-order packing of nucleosomes?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Histone H1  H1 is the linker histone that facilitates the condensation of beads-on-a-string into fibers.</div>
<div><b>High-yield:</b> Key point: A nucleosome is DNA wrapped around a histone octamer (H2A, H2B, H3, H4). H1 binds linker DNA to stabilize higher-order packing.</div>"	CYTOLOGY GEMINI
Which specific protein serves as the 'gatekeeper' of the nuclear pore complex, regulating the traffic of molecules between the nucleus and cytoplasm?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Nucleoporins  Nucleoporins are the large protein assemblies that form the nuclear pore complex and regulate transport.</div>
<div><b>High-yield:</b> Key point: Nuclear pore complexes are built from **nucleoporins** and show **8-fold symmetry**, forming the selective transport gateway.</div>"	CYTOLOGY GEMINI
