Question	OptionA	OptionB	OptionC	OptionD	Correct	Explanation
Which of the following is not included in the glycocalyx?	Glycoproteins	Proteoglycans	Steroids	Phospholipids	C. Steroids	<b>Question</b><br>Which of the following is not included in the glycocalyx?<br><br><b>Correct answer:</b> C — Steroids<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Organelles involved in rectory pathway?	Lysosomes	Golgi apparatus	All are true except peroxisomes	Endosomes	C. All are true except peroxisomes	<b>Question</b><br>Organelles involved in rectory pathway?<br><br><b>Correct answer:</b> C — All are true except peroxisomes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Electrically excited cells are?	Adipocytes	Myofibroblasts	All are true except adipocytes	Endothelial cells	C. All are true except adipocytes	<b>Question</b><br>Electrically excited cells are?<br><br><b>Correct answer:</b> C — All are true except adipocytes<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which substances are detected by periodic acid shift PAS staining method?	Glycolipids	Glycol- ipids & Glycoproteins	Proteins	Neutral lipids	B. Glycol- ipids & Glycoproteins	<b>Question</b><br>Which substances are detected by periodic acid shift PAS staining method?<br><br><b>Correct answer:</b> B — Glycol- ipids &amp; Glycoproteins<br><br><b>Core idea (exam focus)</b><br>Histological techniques and stains highlight specific cellular components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Link the stain/technique to the chemical group it detects (carbohydrates, nucleic acids, proteins, lipids).</li><li>Use color outcome or method principle to rule out distractors.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>PAS highlights carbohydrates (glycogen, glycoproteins), H&amp;E: basophilic=blue/purple, eosinophilic=pink.
Which of the following are inorganic compounds of the cell?	Water	Cytokinesis	Autophagy	Meiosis	A. Water	<b>Question</b><br>Which of the following are inorganic compounds of the cell?<br><br><b>Correct answer:</b> A — Water<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Microtubules..which of the following statement is true?	12Haveawallcomposedofprotofilament	14Haveawallcomposedofprotofilament	Have a wall composed of 13 protofilament	26Haveawallcomposedofprotofilament	C. Have a wall composed of 13 protofilament	<b>Question</b><br>Microtubules..which of the following statement is true?<br><br><b>Correct answer:</b> C — Have a wall composed of 13 protofilament<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following statements regarding lysosomes is true?	10OptimalpHis	4OptimalpHis	Optimal pH is 5.0	6OptimalpHis	C. Optimal pH is 5.0	<b>Question</b><br>Which of the following statements regarding lysosomes is true?<br><br><b>Correct answer:</b> C — Optimal pH is 5.0<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
The middle segment of chromosomes is known as?	Fibroblasts	Myofibroblasts	Endothelial cells	Centromere	D. Centromere	<b>Question</b><br>The middle segment of chromosomes is known as?<br><br><b>Correct answer:</b> D — Centromere<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
All of the following cell junctions are associated with the cytoskeleton except?	Nexuses (Gap junctions)	Gap junction (nexus)	Desmosome (macula adherens)	Hemidesmosome	A. Nexuses (Gap junctions)	<b>Question</b><br>All of the following cell junctions are associated with the cytoskeleton except?<br><br><b>Correct answer:</b> A — Nexuses (Gap junctions)<br><br><b>Core idea (exam focus)</b><br>Cell junctions differ by their proteins and cytoskeletal connections.<br><br><b>Mechanism / reasoning</b><br><ul><li>Decide whether the junction is for sealing, adhesion, or communication.</li><li>Then link it to the associated cytoskeleton (actin vs intermediate filaments) if applicable.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Tight=seal, adherens=actin belt, desmosome/hemidesmosome=intermediate filaments, gap=communication.
Synaptical vesicles..are all true except?	Mitosis	Do not have a membrane	Autophagy	Cytokinesis	B. Do not have a membrane	<b>Question</b><br>Synaptical vesicles..are all true except?<br><br><b>Correct answer:</b> B — Do not have a membrane<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Cytoskeleton motor proteins are..all are true except?	Autophagy	Vimentin	Fibroblasts	Mitosis	B. Vimentin	<b>Question</b><br>Cytoskeleton motor proteins are..all are true except?<br><br><b>Correct answer:</b> B — Vimentin<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The division of the nucleus is reffered to as?	Meiosis	Mitosis	Necrosis	Apoptosis	B. Mitosis	<b>Question</b><br>The division of the nucleus is reffered to as?<br><br><b>Correct answer:</b> B — Mitosis<br><br><b>Core idea (exam focus)</b><br>Key cellular processes have defining features and molecular mediators.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify hallmark molecular mediators (e.g., caspases in apoptosis).</li><li>Differentiate growth, death, and division processes by defining criteria.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Apoptosis=caspases + cell shrinkage, necrosis=swelling + inflammation.
Where are localised the fibres of the nuclear lamina?	Dynein	Myosin	Microtubules	Just inside the inner nuclear membrane	D. Just inside the inner nuclear membrane	<b>Question</b><br>Where are localised the fibres of the nuclear lamina?<br><br><b>Correct answer:</b> D — Just inside the inner nuclear membrane<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following regarding cell shape is not true?	Proteins	Endocytosis	ATP	Smooth muscle cells are cuboidal cells	D. Smooth muscle cells are cuboidal cells	<b>Question</b><br>Which of the following regarding cell shape is not true?<br><br><b>Correct answer:</b> D — Smooth muscle cells are cuboidal cells<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Integrins are..all are true except?	Kinesin	Dynein	Myosin	Intermediate filament receptors	D. Intermediate filament receptors	<b>Question</b><br>Integrins are..all are true except?<br><br><b>Correct answer:</b> D — Intermediate filament receptors<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
All of the following structures contain microtubules except?	13 protofilaments	Microvilli	9+2 axoneme	Keratin proteins	B. Microvilli	<b>Question</b><br>All of the following structures contain microtubules except?<br><br><b>Correct answer:</b> B — Microvilli<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
All of the following are cell to cell junctions except?	Desmosome (macula adherens)	Gap junction (nexus)	Henidesnosomet	Adherens junction (zonula adherens)	C. Henidesnosomet	<b>Question</b><br>All of the following are cell to cell junctions except?<br><br><b>Correct answer:</b> C — Henidesnosomet<br><br><b>Core idea (exam focus)</b><br>Cell junctions differ by their proteins and cytoskeletal connections.<br><br><b>Mechanism / reasoning</b><br><ul><li>Decide whether the junction is for sealing, adhesion, or communication.</li><li>Then link it to the associated cytoskeleton (actin vs intermediate filaments) if applicable.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Tight=seal, adherens=actin belt, desmosome/hemidesmosome=intermediate filaments, gap=communication.
Which statement regarding peroxisomes is true?	Generated from pre-existing peroxisomes	Acid hydrolases	Peroxisomes are generated from pre-existing peroxisomes	Urate oxidase	C. Peroxisomes are generated from pre-existing peroxisomes	<b>Question</b><br>Which statement regarding peroxisomes is true?<br><br><b>Correct answer:</b> C — Peroxisomes are generated from pre-existing peroxisomes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Secretory granules..all are true except?	Carbohydrates	Are returned to the Rough ER for recycling	Meiosis	Lymphocytes	B. Are returned to the Rough ER for recycling	<b>Question</b><br>Secretory granules..all are true except?<br><br><b>Correct answer:</b> B — Are returned to the Rough ER for recycling<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which is the range of thickness of the biological membranes?	4-11	7-12	3-8	5-10µm	D. 5-10µm	<b>Question</b><br>Which is the range of thickness of the biological membranes?<br><br><b>Correct answer:</b> D — 5-10µm<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
F-actin is found in?	Kinesin	Microfilaments	Lamins	Microfilaments (actin)	B. Microfilaments	<b>Question</b><br>F-actin is found in?<br><br><b>Correct answer:</b> B — Microfilaments<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Components of the nuclear envelope..all are true except?	Golgi apparatus	Lysosomes	Chromatin	Peroxisomes	C. Chromatin	<b>Question</b><br>Components of the nuclear envelope..all are true except?<br><br><b>Correct answer:</b> C — Chromatin<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following statements related to the Golgi Complex is not true?	It is a semi autonomous organelle that contains DNA, RNA & Ribosomes	Lipid synthesis	Protein glycosylation	Cis→trans trafficking	A. It is a semi autonomous organelle that contains DNA, RNA & Ribosomes	<b>Question</b><br>Which of the following statements related to the Golgi Complex is not true?<br><br><b>Correct answer:</b> A — It is a semi autonomous organelle that contains DNA, RNA &amp; Ribosomes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Autophagosomes are typical for?	Adipocytes	Endothelial cells	Fibroblasts	Lymphocytes	D. Lymphocytes	<b>Question</b><br>Autophagosomes are typical for?<br><br><b>Correct answer:</b> D — Lymphocytes<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The cytosol..which of the following statements is not true?	RNA	Exocytosis	Mitosis	Contains ions and small proteins	D. Contains ions and small proteins	<b>Question</b><br>The cytosol..which of the following statements is not true?<br><br><b>Correct answer:</b> D — Contains ions and small proteins<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Intermediate filaments are composed of?	Keratin	Lamins	Tubulin	Vimentin	A. Keratin	<b>Question</b><br>Intermediate filaments are composed of?<br><br><b>Correct answer:</b> A — Keratin<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Synaptic vesicles..all are true except?	Lamins	Dynein	Microtubules	Use microtubules for their movement	D. Use microtubules for their movement	<b>Question</b><br>Synaptic vesicles..all are true except?<br><br><b>Correct answer:</b> D — Use microtubules for their movement<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Smooth ER is not involved in?	Protein synthesis	Phagocytes	Adipocytes	Endothelial cells	A. Protein synthesis	<b>Question</b><br>Smooth ER is not involved in?<br><br><b>Correct answer:</b> A — Protein synthesis<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Ribosomes can attach to which of the following?	Free polyribosomes	Outer nuclear membrane	Lipid synthesis	Protein synthesis	B. Outer nuclear membrane	<b>Question</b><br>Ribosomes can attach to which of the following?<br><br><b>Correct answer:</b> B — Outer nuclear membrane<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
