Question	OptionA	OptionB	OptionC	OptionD	OptionE	Correct	Explanation
Which cytoskeleton is associated with the desmosome?	Intermediate filament	Actin filament	Microtubule	All of them	None of them	A	<b>Question</b><br>Which cytoskeleton is associated with the desmosome?<br><br><b>Correct answer:</b> A — Intermediate filament<br><br><b>Core idea (exam focus)</b><br>Desmosomes (macula adherens) anchor intermediate filaments (keratin/desmin) via desmoplakin.<br><br><b>Mechanism / reasoning</b><br><ul><li>Actin is for adherens junctions; microtubules are not the primary anchoring element at desmosomes.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Desmosomes specifically link intermediate filaments, actin links to adherens junctions, microtubules are not junction anchors.</li><li><b>C:</b> Desmosomes specifically link intermediate filaments, actin links to adherens junctions, microtubules are not junction anchors.</li><li><b>D:</b> Desmosomes specifically link intermediate filaments, actin links to adherens junctions, microtubules are not junction anchors.</li><li><b>E:</b> Desmosomes specifically link intermediate filaments, actin links to adherens junctions, microtubules are not junction anchors.</li></ul><br><b>Exam gold (high-yield)</b><br>
Where else in the cell are localized the intermediate filaments, except in the cytosol?	Nucleus	Rough endoplasmic reticulum	Lysosomes	Peroxisomes	Golgi complex	A	<b>Question</b><br>Where else in the cell are localized the intermediate filaments, except in the cytosol?<br><br><b>Correct answer:</b> A — Nucleus<br><br><b>Core idea (exam focus)</b><br>Intermediate filaments are present in the nucleus as lamins forming the nuclear lamina.<br><br><b>Mechanism / reasoning</b><br><ul><li>RER, lysosomes, peroxisomes, and Golgi are organelles, not IF locations.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Not consistent with the tested definition/mechanism.</li><li><b>C:</b> Not consistent with the tested definition/mechanism.</li><li><b>D:</b> Not consistent with the tested definition/mechanism.</li><li><b>E:</b> Not consistent with the tested definition/mechanism.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which of the following statements is TRUE? The microtubules are built of:	13 protofilaments	Keratin proteins	Vimentin proteins	Neurofilaments	Microfilaments	A	<b>Question</b><br>Which of the following statements is TRUE? The microtubules are built of:<br><br><b>Correct answer:</b> A — 13 protofilaments<br><br><b>Core idea (exam focus)</b><br>Microtubules are hollow tubes of α/β-tubulin arranged in 13 protofilaments.<br><br><b>Mechanism / reasoning</b><br><ul><li>Keratin/vimentin/neurofilaments = intermediate filaments; microfilaments = actin.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Keratin/vimentin/neurofilaments are intermediate filaments; microfilaments are actin.</li><li><b>C:</b> Keratin/vimentin/neurofilaments are intermediate filaments; microfilaments are actin.</li><li><b>D:</b> Keratin/vimentin/neurofilaments are intermediate filaments; microfilaments are actin.</li><li><b>E:</b> Keratin/vimentin/neurofilaments are intermediate filaments; microfilaments are actin.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which of the following answers is TRUE? A major function of the rough ER is:	Protein synthesis	Lipid synthesis	Carbohydrate synthesis	Glycolipid synthesis	All answers are correct	A	<b>Question</b><br>Which of the following answers is TRUE? A major function of the rough ER is:<br><br><b>Correct answer:</b> A — Protein synthesis<br><br><b>Core idea (exam focus)</b><br>Rough ER has ribosomes, it synthesizes proteins destined for secretion, membranes, and lysosomes.<br><br><b>Mechanism / reasoning</b><br><ul><li>Lipid synthesis mainly occurs in smooth ER; carbohydrate/glycolipid processing is mainly Golgi/ER lumen modifications.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> RER mainly synthesizes proteins; lipid synthesis is SER; 'all answers' is therefore incorrect.</li><li><b>C:</b> RER mainly synthesizes proteins; lipid synthesis is SER; 'all answers' is therefore incorrect.</li><li><b>D:</b> RER mainly synthesizes proteins; lipid synthesis is SER; 'all answers' is therefore incorrect.</li><li><b>E:</b> RER mainly synthesizes proteins; lipid synthesis is SER; 'all answers' is therefore incorrect.</li></ul><br><b>Exam gold (high-yield)</b><br>
The glycocalyx is composed of all of the following EXCEPT:	Lipoproteins	Proteoglycans	Proteins	Glycoproteins	Glycolipids	A	<b>Question</b><br>The glycocalyx is composed of all of the following EXCEPT:<br><br><b>Correct answer:</b> A — Lipoproteins<br><br><b>Core idea (exam focus)</b><br>Glycocalyx is a carbohydrate-rich coat: glycoproteins, proteoglycans, and glycolipids.<br><br><b>Mechanism / reasoning</b><br><ul><li>‘Lipoproteins’ is not a standard glycocalyx structural component.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Glycocalyx is carbohydrate-rich, not generic lipoproteins; glycoproteins/proteoglycans/glycolipids are typical.</li><li><b>C:</b> Glycocalyx is carbohydrate-rich, not generic lipoproteins; glycoproteins/proteoglycans/glycolipids are typical.</li><li><b>D:</b> Glycocalyx is carbohydrate-rich, not generic lipoproteins; glycoproteins/proteoglycans/glycolipids are typical.</li><li><b>E:</b> Glycocalyx is carbohydrate-rich, not generic lipoproteins; glycoproteins/proteoglycans/glycolipids are typical.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which cytoskeleton is associated with the focal adhesion?	Actin filament	Microtubule	Intermediate filament	All of them	None of them	A	<b>Question</b><br>Which cytoskeleton is associated with the focal adhesion?<br><br><b>Correct answer:</b> A — Actin filament<br><br><b>Core idea (exam focus)</b><br>Focal adhesions link ECM (via integrins) to actin stress fibers through talin/vinculin/paxillin.<br><br><b>Mechanism / reasoning</b><br><ul><li>Intermediate filaments anchor at hemidesmosomes; microtubules are not the primary linkage at focal adhesions.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Focal adhesions link integrins to actin stress fibers, not to intermediate filaments or microtubules.</li><li><b>C:</b> Focal adhesions link integrins to actin stress fibers, not to intermediate filaments or microtubules.</li><li><b>D:</b> Focal adhesions link integrins to actin stress fibers, not to intermediate filaments or microtubules.</li><li><b>E:</b> Focal adhesions link integrins to actin stress fibers, not to intermediate filaments or microtubules.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which of the following statements is NOT true about the platelets?	They contain hemoglobin	They have a granulomer	They have a hyalomer	They have an open canalicular system	They play a role in blood coagulation	A	<b>Question</b><br>Which of the following statements is NOT true about the platelets?<br><br><b>Correct answer:</b> A — They contain hemoglobin<br><br><b>Core idea (exam focus)</b><br>Platelets are anucleate cytoplasmic fragments with granulomer/hyalomer and an open canalicular system; they mediate hemostasis.<br><br><b>Mechanism / reasoning</b><br><ul><li>Hemoglobin is in erythrocytes, not platelets.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> These are true platelet structures/functions in hemostasis; hemoglobin is the incorrect statement.</li><li><b>C:</b> These are true platelet structures/functions in hemostasis; hemoglobin is the incorrect statement.</li><li><b>D:</b> These are true platelet structures/functions in hemostasis; hemoglobin is the incorrect statement.</li><li><b>E:</b> These are true platelet structures/functions in hemostasis; hemoglobin is the incorrect statement.</li></ul><br><b>Exam gold (high-yield)</b><br>
In granulocytopoiesis, which cell type is the next developmental stage after the myeloblast stage?	Promyelocyte	Myelocyte	Neutrophilic granulocyte	Basophilic granulocyte	None of the above	A	<b>Question</b><br>In granulocytopoiesis, which cell type is the next developmental stage after the myeloblast stage?<br><br><b>Correct answer:</b> A — Promyelocyte<br><br><b>Core idea (exam focus)</b><br>Granulopoiesis sequence: myeloblast → promyelocyte → myelocyte → metamyelocyte → band → segmented granulocyte.<br><br><b>Mechanism / reasoning</b><br><ul><li>Myelocyte is later; mature granulocytes are final stages.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This stage occurs later than myeloblast; the immediate next stage is promyelocyte.</li><li><b>C:</b> This stage occurs later than myeloblast; the immediate next stage is promyelocyte.</li><li><b>D:</b> This stage occurs later than myeloblast; the immediate next stage is promyelocyte.</li><li><b>E:</b> This stage occurs later than myeloblast; the immediate next stage is promyelocyte.</li></ul><br><b>Exam gold (high-yield)</b><br>
Chondrocytes receive nutrients via:	Diffusion through the matrix of the cartilage	Haversian canals	Capillaries in the cartilage matrix	Volkmann’s canals	Canaliculi	A	<b>Question</b><br>Chondrocytes receive nutrients via:<br><br><b>Correct answer:</b> A — Diffusion through the matrix of the cartilage<br><br><b>Core idea (exam focus)</b><br>Cartilage is avascular, chondrocytes rely on diffusion through the extracellular matrix from perichondrium/synovial fluid.<br><br><b>Mechanism / reasoning</b><br><ul><li>Haversian/Volkmann canals and canaliculi belong to bone.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> These belong to bone (Haversian/Volkmann/canaliculi) or are incorrect because cartilage is avascular.</li><li><b>C:</b> These belong to bone (Haversian/Volkmann/canaliculi) or are incorrect because cartilage is avascular.</li><li><b>D:</b> These belong to bone (Haversian/Volkmann/canaliculi) or are incorrect because cartilage is avascular.</li><li><b>E:</b> These belong to bone (Haversian/Volkmann/canaliculi) or are incorrect because cartilage is avascular.</li></ul><br><b>Exam gold (high-yield)</b><br>
Somatostatin is produced in the:	Hypothalamus	Neurohypophysis	Adenohypophysis	Basal ganglia	Hypophyseal infundibulum	A	<b>Question</b><br>Somatostatin is produced in the:<br><br><b>Correct answer:</b> A — Hypothalamus<br><br><b>Core idea (exam focus)</b><br>Somatostatin (GHIH) is produced by hypothalamic neurons and inhibits GH/TSH release from adenohypophysis.<br><br><b>Mechanism / reasoning</b><br><ul><li>Neurohypophysis stores/releases ADH/oxytocin, not somatostatin.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Somatostatin (GHIH) is hypothalamic; the other listed sites are not its primary production site in this context.</li><li><b>C:</b> Somatostatin (GHIH) is hypothalamic; the other listed sites are not its primary production site in this context.</li><li><b>D:</b> Somatostatin (GHIH) is hypothalamic; the other listed sites are not its primary production site in this context.</li><li><b>E:</b> Somatostatin (GHIH) is hypothalamic; the other listed sites are not its primary production site in this context.</li></ul><br><b>Exam gold (high-yield)</b><br>
